"filename", "language", "JavaScript JSX", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "HTML", "Markdown", "XML", "comment", "blank", "total"
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/ManageBrands.tsx", "TypeScript JSX", 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 7, 19, 233
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/ManageCategories.tsx", "TypeScript JSX", 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 11, 18, 228
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/ManageInventory.jsx", "JavaScript JSX", 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 26, 372
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/ManageOutlets.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 38, 12, 151
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/MultiAdminLogin.tsx", "TypeScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 10, 106
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/OrderDetails.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Orders.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/PrivacyPolicy.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/ProductDetails.jsx", "JavaScript JSX", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 99
"/Users/harisejaz/Final Year Project - Github/dotbrand-fe/src/pages/Profile.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
